datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,99976.19995117188,96764.59991455078,-0.00023800048828126474
2020-01-04 09:30:00-05:00,99976.19995117188,96764.59991455078,0.0
2020-01-06 09:30:00-05:00,99969.49981689453,96764.59991455078,-6.70172929219115e-05
2020-01-07 09:30:00-05:00,99994.7998046875,96764.59991455078,0.0002530770668984772
2020-01-08 09:30:00-05:00,99993.99993896484,96764.59991455078,-7.999073194042694e-06
2020-01-09 09:30:00-05:00,100026.19995117188,96764.59991455078,0.00032201944343346334
2020-01-10 09:30:00-05:00,100037.5,96764.59991455078,0.00011297088996320426
2020-01-11 09:30:00-05:00,100037.5,96764.59991455078,0.0
2020-01-13 09:30:00-05:00,100028.50006103516,96764.59991455078,-8.99656525287229e-05
2020-01-14 09:30:00-05:00,100039.29992675781,96764.59991455078,0.00010796788631295406
2020-01-15 09:30:00-05:00,100038.09997558594,96764.59991455078,-1.1994797772030275e-05
2020-01-16 09:30:00-05:00,100061.6000366211,96764.59991455078,0.00023491110927631453
2020-01-17 09:30:00-05:00,100081.6000366211,96764.59991455078,0.00019987687577138757
2020-01-18 09:30:00-05:00,100081.6000366211,96764.59991455078,0.0
2020-01-21 09:30:00-05:00,100073.59985351562,96764.59991455078,-7.993660275751324e-05
2020-01-22 09:30:00-05:00,100086.99981689453,96764.59991455078,0.00013390108278832358
2020-01-23 09:30:00-05:00,100070.8999633789,96764.59991455078,-0.00016085858847880719
2020-01-24 09:30:00-05:00,100088.99993896484,96764.59991455078,0.0001808715180193765
2020-01-25 09:30:00-05:00,100088.99993896484,96764.59991455078,0.0
2020-01-27 09:30:00-05:00,99994.89990234375,96764.59991455078,-0.0009401636211618936
2020-01-28 09:30:00-05:00,100015.19989013672,96764.59991455078,0.0002030102316497029
2020-01-29 09:30:00-05:00,100048.3999633789,96764.59991455078,0.00033195027634458363
2020-01-30 09:30:00-05:00,100008.1997680664,96764.59991455078,-0.0004018074784525316
2020-01-31 09:30:00-05:00,100034.59991455078,96764.59991455078,0.00026397981911086
2020-02-01 09:30:00-05:00,100034.59991455078,96764.59991455078,0.0
2020-02-03 09:30:00-05:00,99998.09997558594,96764.59991455078,-0.00036487314385247327
2020-02-04 09:30:00-05:00,100045.29998779297,96764.59991455078,0.0004720090903582719
2020-02-05 09:30:00-05:00,100087.2998046875,96764.59991455078,0.0004198079959742973
2020-02-06 09:30:00-05:00,100103.69995117188,96764.59991455078,0.0001638584167660273
2020-02-07 09:30:00-05:00,100092.79998779297,96764.59991455078,-0.00010888671831532637
2020-02-08 09:30:00-05:00,100092.79998779297,96764.59991455078,0.0
2020-02-10 09:30:00-05:00,100076.90002441406,96764.59991455078,-0.00015885221894929025
2020-02-11 09:30:00-05:00,100126.19995117188,96764.59991455078,0.0004926204423376657
2020-02-12 09:30:00-05:00,100132.89978027344,96764.59991455078,6.691384577495185e-05
2020-02-13 09:30:00-05:00,100123.1997680664,96764.59991455078,-9.687138021885477e-05
2020-02-14 09:30:00-05:00,100139.70001220703,96764.59991455078,0.00016479940891667155
2020-02-15 09:30:00-05:00,100139.70001220703,96764.59991455078,0.0
2020-02-18 09:30:00-05:00,100129.70001220703,96764.59991455078,-9.986049487642479e-05
2020-02-19 09:30:00-05:00,100142.5,96764.59991455078,0.00012783407711602912
2020-02-20 09:30:00-05:00,100141.99981689453,96764.59991455078,-4.994713587835875e-06
2020-02-21 09:30:00-05:00,100119.29992675781,96764.59991455078,-0.00022667702041323512
2020-02-22 09:30:00-05:00,100119.29992675781,96764.59991455078,0.0
2020-02-24 09:30:00-05:00,99996.00006103516,96764.59991455078,-0.001231529443502466
2020-02-25 09:30:00-05:00,100003.99993896484,96764.59991455078,8.000197932722664e-05
2020-02-26 09:30:00-05:00,99906.3998413086,96764.59991455078,-0.0009759619386806584
2020-02-27 09:30:00-05:00,99819.19982910156,96764.59991455078,-0.0008728170802425606
2020-02-28 09:30:00-05:00,99651.6000366211,96764.59991455078,-0.0016790336204599576
2020-02-29 09:30:00-05:00,99651.6000366211,96764.59991455078,0.0
2020-03-02 09:30:00-05:00,99746.69982910156,96764.59991455078,0.0009543227850383751
2020-03-03 09:30:00-05:00,99859.59991455078,96764.59991455078,0.0011318678777609836
2020-03-04 09:30:00-05:00,99825.79986572266,96764.59991455078,-0.00033847570846512465
2020-03-05 09:30:00-05:00,99814.40002441406,96764.59991455078,-0.00011419734501427747
2020-03-06 09:30:00-05:00,99696.09985351562,96764.59991455078,-0.0011852014425723922
2020-03-07 09:30:00-05:00,99696.09985351562,96764.59991455078,0.0
2020-03-09 09:30:00-04:00,99611.00006103516,96764.59991455078,-0.000853591992119096
2020-03-10 09:30:00-04:00,99571.6000366211,96764.59991455078,-0.0003955388901820678
2020-03-11 09:30:00-04:00,99324.59991455078,96764.59991455078,-0.0024806282311369277
2020-03-12 09:30:00-04:00,99395.49987792969,96764.59991455078,0.000713820779946861
2020-03-13 09:30:00-04:00,99395.49987792969,96764.59991455078,0.0
2020-03-14 09:30:00-04:00,99395.49987792969,96764.59991455078,0.0
2020-03-16 09:30:00-04:00,99214.99984741211,96764.59991455078,-0.0018159778937603122
2020-03-17 09:30:00-04:00,99127.09991455078,96764.59991455078,-0.0008859540694100554
2020-03-18 09:30:00-04:00,99157.09991455078,96764.59991455078,0.00030264176018324207
2020-03-19 09:30:00-04:00,99189.89990234375,96764.59991455078,0.0003307880910317085
2020-03-20 09:30:00-04:00,99189.89990234375,96764.59991455078,0.0
2020-03-21 09:30:00-04:00,99189.89990234375,96764.59991455078,0.0
2020-03-23 09:30:00-04:00,99108.79989624023,96764.59991455078,-0.0008176236308672369
2020-03-24 09:30:00-04:00,99213.29986572266,96764.59991455078,0.0010543964773241932
2020-03-25 09:30:00-04:00,99259.79995727539,96764.59991455078,0.000468688085323965
2020-03-26 09:30:00-04:00,99297.29995727539,96764.59991455078,0.00037779644948043867
2020-03-27 09:30:00-04:00,99297.29995727539,96764.59991455078,0.0
2020-03-28 09:30:00-04:00,99297.29995727539,96764.59991455078,0.0
2020-03-30 09:30:00-04:00,99370.19989013672,96764.59991455078,0.000734158259013018
2020-03-31 09:30:00-04:00,99244.39987182617,96764.59991455078,-0.0012659732842404958
2020-04-01 09:30:00-04:00,99216.49993896484,96764.59991455078,-0.00028112349812547954
2020-04-02 09:30:00-04:00,99272.19985961914,96764.59991455078,0.0005613977583220908
2020-04-03 09:30:00-04:00,99272.19985961914,96764.59991455078,0.0
2020-04-04 09:30:00-04:00,99272.19985961914,96764.59991455078,0.0
2020-04-06 09:30:00-04:00,99506.69982910156,96764.59991455078,0.002362191729547991
2020-04-07 09:30:00-04:00,99444.19982910156,96764.59991455078,-0.0006280984105325738
2020-04-08 09:30:00-04:00,99540.39978027344,96764.59991455078,0.0009673761902373457
2020-04-09 09:30:00-04:00,99540.39978027344,96764.59991455078,0.0
2020-04-10 09:30:00-04:00,99540.39978027344,96764.59991455078,0.0
2020-04-13 09:30:00-04:00,99574.40002441406,96764.59991455078,0.0003415723084865263
2020-04-14 09:30:00-04:00,99540.29998779297,96764.59991455078,-0.00034245786680842105
2020-04-15 09:30:00-04:00,99556.09985351562,96764.59991455078,0.00015872833138530495
2020-04-16 09:30:00-04:00,99618.3999633789,96764.59991455078,0.0006257789322297036
2020-04-17 09:30:00-04:00,99618.3999633789,96764.59991455078,0.0
2020-04-18 09:30:00-04:00,99618.3999633789,96764.59991455078,0.0
2020-04-20 09:30:00-04:00,99531.90002441406,96764.59991455078,-0.0008683128718854904
2020-04-21 09:30:00-04:00,99548.09997558594,96764.59991455078,0.00016276139778192977
2020-04-22 09:30:00-04:00,99569.49981689453,96764.59991455078,0.00021496986194446954
2020-04-23 09:30:00-04:00,99571.90002441406,96764.59991455078,2.4105850927602646e-05
2020-04-24 09:30:00-04:00,99571.90002441406,96764.59991455078,0.0
2020-04-25 09:30:00-04:00,99571.90002441406,96764.59991455078,0.0
2020-04-27 09:30:00-04:00,99674.7998046875,96764.59991455078,0.001033421881557084
2020-04-28 09:30:00-04:00,99679.89990234375,96764.59991455078,5.116737295929319e-05
2020-04-29 09:30:00-04:00,99681.69982910156,96764.59991455078,1.8057068271293275e-05
2020-04-30 09:30:00-04:00,99617.69989013672,96764.59991455078,-0.0006420430136581112
2020-05-01 09:30:00-04:00,99617.69989013672,96764.59991455078,0.0
2020-05-02 09:30:00-04:00,99617.69989013672,96764.59991455078,0.0
2020-05-04 09:30:00-04:00,99631.00006103516,96764.59991455078,0.00013351212598866624
2020-05-05 09:30:00-04:00,99645.0,96764.59991455078,0.00014051790061597735
2020-05-06 09:30:00-04:00,99642.09991455078,96764.59991455078,-2.9104174311012088e-05
2020-05-07 09:30:00-04:00,99675.49987792969,96764.59991455078,0.0003351993124145469
2020-05-08 09:30:00-04:00,99675.49987792969,96764.59991455078,0.0
2020-05-09 09:30:00-04:00,99675.49987792969,96764.59991455078,0.0
2020-05-11 09:30:00-04:00,99702.5,96764.59991455078,0.0002708802273716504
2020-05-12 09:30:00-04:00,99625.19989013672,96764.59991455078,-0.000775307638858469
2020-05-13 09:30:00-04:00,99554.1000366211,96764.59991455078,-0.0007136733837826981
2020-05-14 09:30:00-04:00,99588.29986572266,96764.59991455078,0.00034353009156817826
2020-05-15 09:30:00-04:00,99588.29986572266,96764.59991455078,0.0
